datetime,open,high,low,close,volume,symbol
2025-01-01 09:15:00,4094.4,4120.0,4090.5,4099.7,57640,TCS
2025-01-01 09:30:00,4100.0,4101.0,4092.45,4096.05,29100,TCS
2025-01-01 09:45:00,4094.95,4102.9,4091.6,4099.0,40701,TCS
2025-01-01 10:00:00,4099.0,4103.85,4085.45,4099.55,31249,TCS
2025-01-01 10:15:00,4098.05,4104.8,4095.55,4104.05,22833,TCS
2025-01-01 10:30:00,4104.05,4114.75,4101.7,4109.05,21433,TCS
2025-01-01 10:45:00,4109.65,4123.0,4107.65,4119.4,32489,TCS
2025-01-01 11:00:00,4119.45,4127.75,4115.1,4123.05,24916,TCS
2025-01-01 11:15:00,4123.2,4134.0,4122.2,4128.5,30330,TCS
2025-01-01 11:30:00,4128.5,4133.85,4118.45,4123.1,26362,TCS
2025-01-01 11:45:00,4123.0,4125.0,4102.65,4108.0,32021,TCS
2025-01-01 12:00:00,4107.55,4113.6,4105.95,4110.55,15867,TCS
2025-01-01 12:15:00,4108.8,4123.6,4108.7,4111.0,29313,TCS
2025-01-01 12:30:00,4111.8,4129.25,4109.5,4121.4,38940,TCS
2025-01-01 12:45:00,4122.5,4130.0,4108.15,4112.05,32031,TCS
2025-01-01 13:00:00,4111.95,4116.25,4107.85,4112.5,12197,TCS
2025-01-01 13:15:00,4112.1,4122.85,4110.35,4119.9,18988,TCS
2025-01-01 13:30:00,4119.9,4120.0,4112.75,4118.65,15002,TCS
2025-01-01 13:45:00,4118.95,4120.75,4113.85,4119.95,22818,TCS
2025-01-01 14:00:00,4119.0,4122.45,4113.0,4114.2,34669,TCS
2025-01-01 14:15:00,4113.0,4119.95,4110.75,4118.2,28510,TCS
2025-01-01 14:30:00,4117.95,4119.85,4113.05,4117.15,23012,TCS
2025-01-01 14:45:00,4116.3,4118.9,4110.15,4110.15,43751,TCS
2025-01-01 15:00:00,4110.95,4116.65,4108.0,4113.4,44967,TCS
2025-01-01 15:15:00,4114.05,4118.65,4107.45,4112.0,51224,TCS
2025-01-02 09:15:00,4120.0,4134.1,4096.95,4120.0,84951,TCS
2025-01-02 09:30:00,4118.9,4134.1,4117.0,4131.0,40658,TCS
2025-01-02 09:45:00,4131.7,4148.8,4130.0,4140.0,63911,TCS
2025-01-02 10:00:00,4139.0,4142.0,4130.0,4133.4,27933,TCS
2025-01-02 10:15:00,4133.4,4146.0,4133.1,4141.4,30330,TCS
2025-01-02 10:30:00,4142.0,4150.0,4134.0,4141.8,32794,TCS
2025-01-02 10:45:00,4142.0,4155.4,4138.45,4153.05,70114,TCS
2025-01-02 11:00:00,4153.0,4157.5,4148.65,4148.65,43860,TCS
2025-01-02 11:15:00,4149.85,4155.0,4146.45,4151.0,25264,TCS
2025-01-02 11:30:00,4151.0,4154.4,4145.65,4149.8,28184,TCS
2025-01-02 11:45:00,4149.15,4151.5,4133.4,4135.0,32766,TCS
2025-01-02 12:00:00,4135.0,4138.5,4128.4,4129.65,28640,TCS
2025-01-02 12:15:00,4128.8,4151.8,4127.0,4149.15,51617,TCS
2025-01-02 12:30:00,4150.45,4173.3,4150.45,4165.55,124236,TCS
2025-01-02 12:45:00,4165.5,4169.0,4151.0,4155.95,74930,TCS
2025-01-02 13:00:00,4156.8,4168.0,4153.0,4161.85,92797,TCS
2025-01-02 13:15:00,4161.85,4169.5,4160.0,4164.2,84599,TCS
2025-01-02 13:30:00,4165.4,4171.65,4161.4,4169.05,57355,TCS
2025-01-02 13:45:00,4169.0,4172.2,4164.0,4167.4,58249,TCS
2025-01-02 14:00:00,4167.4,4167.4,4160.5,4163.0,36017,TCS
