datetime,open,high,low,close,volume,symbol
2026-01-02 00:00:00,991.15,1003.2,988.8,1001.6,11751459,HDFCBANK
2026-01-05 00:00:00,1005.75,1006.4,976.3,977.5,27647379,HDFCBANK
2026-01-06 00:00:00,962.7,966.7,956.0,962.2,31988783,HDFCBANK
2026-01-07 00:00:00,956.0,956.45,946.0,949.05,52884712,HDFCBANK
2026-01-08 00:00:00,944.7,953.0,941.4,946.7,21928849,HDFCBANK
2026-01-09 00:00:00,945.0,950.6,933.3,939.0,38183839,HDFCBANK
2026-01-12 00:00:00,937.5,942.0,929.6,936.95,21071666,HDFCBANK
2026-01-13 00:00:00,947.7,947.7,932.6,937.35,32042827,HDFCBANK
2026-01-14 00:00:00,930.0,940.05,920.2,925.45,36688248,HDFCBANK
2026-01-16 00:00:00,922.0,935.95,919.2,931.1,37780235,HDFCBANK
2026-01-19 00:00:00,935.9,936.15,919.5,927.9,38191942,HDFCBANK
2026-01-20 00:00:00,929.3,934.5,919.6,931.2,36022727,HDFCBANK
2026-01-21 00:00:00,925.0,932.15,915.5,920.35,32766854,HDFCBANK
2026-01-22 00:00:00,928.0,928.3,913.2,918.7,44444755,HDFCBANK
2026-01-23 00:00:00,920.0,926.1,909.25,916.1,30985247,HDFCBANK
2026-01-27 00:00:00,906.0,931.2,905.0,926.4,44753093,HDFCBANK
2026-01-28 00:00:00,932.5,941.45,928.4,932.7,35347138,HDFCBANK
2026-01-29 00:00:00,930.1,939.3,924.35,935.5,37175628,HDFCBANK
2026-01-30 00:00:00,930.0,938.9,927.75,929.25,29691233,HDFCBANK
