datetime,open,high,low,close,volume,symbol
2026-01-01 09:15:00,1573.7,1589.6,1572.3,1588.0,662410,RELIANCE
2026-01-01 09:30:00,1588.0,1592.5,1585.2,1586.0,433071,RELIANCE
2026-01-01 09:45:00,1585.6,1586.9,1582.9,1583.1,204159,RELIANCE
2026-01-01 10:00:00,1583.5,1587.5,1582.2,1582.4,209258,RELIANCE
2026-01-01 10:15:00,1582.5,1582.9,1579.4,1582.9,134241,RELIANCE
2026-01-01 10:30:00,1582.9,1583.4,1578.5,1579.0,134552,RELIANCE
2026-01-01 10:45:00,1578.9,1583.3,1578.5,1581.0,128041,RELIANCE
2026-01-01 11:00:00,1581.0,1582.3,1579.8,1580.4,94280,RELIANCE
2026-01-01 11:15:00,1580.7,1581.3,1578.5,1578.8,108474,RELIANCE
2026-01-01 11:30:00,1578.8,1579.5,1576.3,1577.1,77943,RELIANCE
2026-01-01 11:45:00,1577.1,1577.9,1576.1,1577.5,66769,RELIANCE
2026-01-01 12:00:00,1577.2,1578.5,1575.4,1578.1,121612,RELIANCE
2026-01-01 12:15:00,1578.1,1578.5,1574.2,1577.5,207173,RELIANCE
2026-01-01 12:30:00,1577.8,1579.0,1575.3,1577.9,319088,RELIANCE
2026-01-01 12:45:00,1577.9,1581.0,1575.8,1575.8,289907,RELIANCE
2026-01-01 13:00:00,1575.8,1576.8,1574.1,1574.8,121610,RELIANCE
2026-01-01 13:15:00,1575.0,1576.5,1573.0,1575.7,423664,RELIANCE
2026-01-01 13:30:00,1575.7,1578.0,1575.3,1577.2,261896,RELIANCE
2026-01-01 13:45:00,1577.2,1581.4,1576.9,1578.6,267980,RELIANCE
2026-01-01 14:00:00,1578.6,1580.0,1577.6,1579.2,78679,RELIANCE
2026-01-01 14:15:00,1579.1,1580.1,1578.0,1578.3,123785,RELIANCE
2026-01-01 14:30:00,1578.0,1580.0,1577.3,1578.4,94622,RELIANCE
2026-01-01 14:45:00,1578.0,1578.5,1577.0,1578.3,84755,RELIANCE
2026-01-01 15:00:00,1578.0,1579.7,1574.2,1575.0,1101785,RELIANCE
2026-01-01 15:15:00,1574.9,1575.0,1571.1,1572.9,652759,RELIANCE
2026-01-02 09:15:00,1580.0,1587.5,1578.2,1585.0,346284,RELIANCE
2026-01-02 09:30:00,1584.6,1588.5,1583.3,1588.4,235592,RELIANCE
2026-01-02 09:45:00,1588.4,1589.9,1587.0,1589.0,197999,RELIANCE
2026-01-02 10:00:00,1589.0,1589.9,1586.6,1588.9,120257,RELIANCE
2026-01-02 10:15:00,1588.9,1589.4,1586.5,1588.7,100254,RELIANCE
2026-01-02 10:30:00,1588.8,1589.9,1587.3,1588.4,265534,RELIANCE
2026-01-02 10:45:00,1588.4,1589.0,1584.4,1584.9,321791,RELIANCE
2026-01-02 11:00:00,1585.0,1585.1,1583.1,1584.0,164265,RELIANCE
2026-01-02 11:15:00,1583.6,1587.0,1582.0,1586.9,220922,RELIANCE
2026-01-02 11:30:00,1586.8,1587.4,1584.6,1586.4,165566,RELIANCE
2026-01-02 11:45:00,1586.4,1588.6,1586.0,1587.6,237209,RELIANCE
2026-01-02 12:00:00,1587.6,1588.5,1586.2,1587.0,146864,RELIANCE
2026-01-02 12:15:00,1586.9,1590.0,1586.7,1588.7,230622,RELIANCE
2026-01-02 12:30:00,1588.7,1589.5,1588.0,1588.1,155607,RELIANCE
2026-01-02 12:45:00,1588.2,1589.2,1587.7,1589.1,269059,RELIANCE
2026-01-02 13:00:00,1588.8,1589.9,1588.1,1589.5,122658,RELIANCE
2026-01-02 13:15:00,1589.5,1591.8,1589.2,1590.5,253281,RELIANCE
2026-01-02 13:30:00,1590.7,1591.9,1590.3,1591.8,212375,RELIANCE
2026-01-02 13:45:00,1591.7,1592.9,1589.4,1590.3,370545,RELIANCE
2026-01-02 14:00:00,1590.3,1591.6,1590.2,1591.2,178933,RELIANCE
2026-01-02 14:15:00,1591.1,1592.4,1590.2,1591.0,342599,RELIANCE
2026-01-02 14:30:00,1590.9,1591.5,1588.1,1589.2,297930,RELIANCE
2026-01-02 14:45:00,1589.2,1590.9,1588.9,1589.7,250809,RELIANCE
2026-01-02 15:00:00,1589.7,1594.6,1589.7,1592.9,696655,RELIANCE
2026-01-02 15:15:00,1592.9,1593.0,1591.2,1593.0,697701,RELIANCE
