company_name,industry,symbol,Series,isin,index_code,scrape_date
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,NIFTYSMALLCAP50,2026-02-03
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,NIFTYSMALLCAP50,2026-02-03
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,NIFTYSMALLCAP50,2026-02-03
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,NIFTYSMALLCAP50,2026-02-03
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,NIFTYSMALLCAP50,2026-02-03
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,NIFTYSMALLCAP50,2026-02-03
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,NIFTYSMALLCAP50,2026-02-03
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,NIFTYSMALLCAP50,2026-02-03
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,NIFTYSMALLCAP50,2026-02-03
CESC Ltd.,Power,CESC,EQ,INE486A01021,NIFTYSMALLCAP50,2026-02-03
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,NIFTYSMALLCAP50,2026-02-03
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,NIFTYSMALLCAP50,2026-02-03
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,NIFTYSMALLCAP50,2026-02-03
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020,NIFTYSMALLCAP50,2026-02-03
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,NIFTYSMALLCAP50,2026-02-03
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,NIFTYSMALLCAP50,2026-02-03
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,NIFTYSMALLCAP50,2026-02-03
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,NIFTYSMALLCAP50,2026-02-03
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,NIFTYSMALLCAP50,2026-02-03
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021,NIFTYSMALLCAP50,2026-02-03
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,NIFTYSMALLCAP50,2026-02-03
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,NIFTYSMALLCAP50,2026-02-03
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,NIFTYSMALLCAP50,2026-02-03
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,NIFTYSMALLCAP50,2026-02-03
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,NIFTYSMALLCAP50,2026-02-03
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036,NIFTYSMALLCAP50,2026-02-03
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,NIFTYSMALLCAP50,2026-02-03
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,NIFTYSMALLCAP50,2026-02-03
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,NIFTYSMALLCAP50,2026-02-03
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,NIFTYSMALLCAP50,2026-02-03
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,NIFTYSMALLCAP50,2026-02-03
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,NIFTYSMALLCAP50,2026-02-03
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,NIFTYSMALLCAP50,2026-02-03
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,NIFTYSMALLCAP50,2026-02-03
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,NIFTYSMALLCAP50,2026-02-03
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,NIFTYSMALLCAP50,2026-02-03
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,NIFTYSMALLCAP50,2026-02-03
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010,NIFTYSMALLCAP50,2026-02-03
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,NIFTYSMALLCAP50,2026-02-03
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,NIFTYSMALLCAP50,2026-02-03
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,NIFTYSMALLCAP50,2026-02-03
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,NIFTYSMALLCAP50,2026-02-03
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,NIFTYSMALLCAP50,2026-02-03
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,NIFTYSMALLCAP50,2026-02-03
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,NIFTYSMALLCAP50,2026-02-03
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,NIFTYSMALLCAP50,2026-02-03
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,NIFTYSMALLCAP50,2026-02-03
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,NIFTYSMALLCAP50,2026-02-03
