company_name,industry,symbol,Series,isin,index_code,scrape_date
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,NIFTYSMALLCAP250,2026-02-03
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,NIFTYSMALLCAP250,2026-02-03
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,NIFTYSMALLCAP250,2026-02-03
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,NIFTYSMALLCAP250,2026-02-03
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,NIFTYSMALLCAP250,2026-02-03
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,NIFTYSMALLCAP250,2026-02-03
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,NIFTYSMALLCAP250,2026-02-03
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,NIFTYSMALLCAP250,2026-02-03
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,NIFTYSMALLCAP250,2026-02-03
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,NIFTYSMALLCAP250,2026-02-03
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,NIFTYSMALLCAP250,2026-02-03
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,NIFTYSMALLCAP250,2026-02-03
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,NIFTYSMALLCAP250,2026-02-03
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,NIFTYSMALLCAP250,2026-02-03
Akzo Nobel India Ltd.,Consumer Durables,AKZOINDIA,EQ,INE133A01011,NIFTYSMALLCAP250,2026-02-03
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,NIFTYSMALLCAP250,2026-02-03
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,NIFTYSMALLCAP250,2026-02-03
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,NIFTYSMALLCAP250,2026-02-03
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,NIFTYSMALLCAP250,2026-02-03
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,NIFTYSMALLCAP250,2026-02-03
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,NIFTYSMALLCAP250,2026-02-03
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,NIFTYSMALLCAP250,2026-02-03
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,NIFTYSMALLCAP250,2026-02-03
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,NIFTYSMALLCAP250,2026-02-03
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,NIFTYSMALLCAP250,2026-02-03
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,NIFTYSMALLCAP250,2026-02-03
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,NIFTYSMALLCAP250,2026-02-03
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016,NIFTYSMALLCAP250,2026-02-03
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,NIFTYSMALLCAP250,2026-02-03
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,NIFTYSMALLCAP250,2026-02-03
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,NIFTYSMALLCAP250,2026-02-03
