company_name,industry,symbol,Series,isin,index_code,scrape_date
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,NIFTYMIDCAP100,2026-02-03
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,NIFTYMIDCAP100,2026-02-03
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,NIFTYMIDCAP100,2026-02-03
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,NIFTYMIDCAP100,2026-02-03
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,NIFTYMIDCAP100,2026-02-03
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,NIFTYMIDCAP100,2026-02-03
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,NIFTYMIDCAP100,2026-02-03
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,NIFTYMIDCAP100,2026-02-03
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,NIFTYMIDCAP100,2026-02-03
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,NIFTYMIDCAP100,2026-02-03
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,NIFTYMIDCAP100,2026-02-03
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,NIFTYMIDCAP100,2026-02-03
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,NIFTYMIDCAP100,2026-02-03
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,NIFTYMIDCAP100,2026-02-03
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,NIFTYMIDCAP100,2026-02-03
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,NIFTYMIDCAP100,2026-02-03
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,NIFTYMIDCAP100,2026-02-03
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,NIFTYMIDCAP100,2026-02-03
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,NIFTYMIDCAP100,2026-02-03
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,NIFTYMIDCAP100,2026-02-03
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,NIFTYMIDCAP100,2026-02-03
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,NIFTYMIDCAP100,2026-02-03
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,NIFTYMIDCAP100,2026-02-03
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,NIFTYMIDCAP100,2026-02-03
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,NIFTYMIDCAP100,2026-02-03
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,NIFTYMIDCAP100,2026-02-03
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,NIFTYMIDCAP100,2026-02-03
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,NIFTYMIDCAP100,2026-02-03
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,NIFTYMIDCAP100,2026-02-03
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,NIFTYMIDCAP100,2026-02-03
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,NIFTYMIDCAP100,2026-02-03
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,NIFTYMIDCAP100,2026-02-03
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,NIFTYMIDCAP100,2026-02-03
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,NIFTYMIDCAP100,2026-02-03
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,NIFTYMIDCAP100,2026-02-03
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,NIFTYMIDCAP100,2026-02-03
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,NIFTYMIDCAP100,2026-02-03
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,NIFTYMIDCAP100,2026-02-03
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,NIFTYMIDCAP100,2026-02-03
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,NIFTYMIDCAP100,2026-02-03
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,NIFTYMIDCAP100,2026-02-03
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,NIFTYMIDCAP100,2026-02-03
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,NIFTYMIDCAP100,2026-02-03
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,NIFTYMIDCAP100,2026-02-03
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,NIFTYMIDCAP100,2026-02-03
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,NIFTYMIDCAP100,2026-02-03
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,NIFTYMIDCAP100,2026-02-03
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,NIFTYMIDCAP100,2026-02-03
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,NIFTYMIDCAP100,2026-02-03
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,NIFTYMIDCAP100,2026-02-03
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,NIFTYMIDCAP100,2026-02-03
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,NIFTYMIDCAP100,2026-02-03
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,NIFTYMIDCAP100,2026-02-03
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,NIFTYMIDCAP100,2026-02-03
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,NIFTYMIDCAP100,2026-02-03
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,NIFTYMIDCAP100,2026-02-03
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,NIFTYMIDCAP100,2026-02-03
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,NIFTYMIDCAP100,2026-02-03
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,NIFTYMIDCAP100,2026-02-03
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,NIFTYMIDCAP100,2026-02-03
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,NIFTYMIDCAP100,2026-02-03
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,NIFTYMIDCAP100,2026-02-03
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,NIFTYMIDCAP100,2026-02-03
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NIFTYMIDCAP100,2026-02-03
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,NIFTYMIDCAP100,2026-02-03
