company_name,industry,symbol,Series,isin,index_code,scrape_date
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,NIFTYMIDCAP150,2026-02-03
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,NIFTYMIDCAP150,2026-02-03
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,NIFTYMIDCAP150,2026-02-03
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,NIFTYMIDCAP150,2026-02-03
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,NIFTYMIDCAP150,2026-02-03
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,NIFTYMIDCAP150,2026-02-03
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041,NIFTYMIDCAP150,2026-02-03
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,NIFTYMIDCAP150,2026-02-03
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,NIFTYMIDCAP150,2026-02-03
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,NIFTYMIDCAP150,2026-02-03
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,NIFTYMIDCAP150,2026-02-03
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,NIFTYMIDCAP150,2026-02-03
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,NIFTYMIDCAP150,2026-02-03
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,NIFTYMIDCAP150,2026-02-03
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,NIFTYMIDCAP150,2026-02-03
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,NIFTYMIDCAP150,2026-02-03
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,NIFTYMIDCAP150,2026-02-03
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,NIFTYMIDCAP150,2026-02-03
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,NIFTYMIDCAP150,2026-02-03
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,NIFTYMIDCAP150,2026-02-03
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,NIFTYMIDCAP150,2026-02-03
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,NIFTYMIDCAP150,2026-02-03
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,NIFTYMIDCAP150,2026-02-03
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,NIFTYMIDCAP150,2026-02-03
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,NIFTYMIDCAP150,2026-02-03
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,NIFTYMIDCAP150,2026-02-03
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,NIFTYMIDCAP150,2026-02-03
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,NIFTYMIDCAP150,2026-02-03
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,NIFTYMIDCAP150,2026-02-03
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,NIFTYMIDCAP150,2026-02-03
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,NIFTYMIDCAP150,2026-02-03
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,NIFTYMIDCAP150,2026-02-03
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,NIFTYMIDCAP150,2026-02-03
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,NIFTYMIDCAP150,2026-02-03
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,NIFTYMIDCAP150,2026-02-03
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,NIFTYMIDCAP150,2026-02-03
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,NIFTYMIDCAP150,2026-02-03
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,NIFTYMIDCAP150,2026-02-03
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,NIFTYMIDCAP150,2026-02-03
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,NIFTYMIDCAP150,2026-02-03
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,NIFTYMIDCAP150,2026-02-03
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,NIFTYMIDCAP150,2026-02-03
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,NIFTYMIDCAP150,2026-02-03
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,NIFTYMIDCAP150,2026-02-03
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,NIFTYMIDCAP150,2026-02-03
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,NIFTYMIDCAP150,2026-02-03
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NIFTYMIDCAP150,2026-02-03
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,NIFTYMIDCAP150,2026-02-03
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,NIFTYMIDCAP150,2026-02-03
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,NIFTYMIDCAP150,2026-02-03
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,NIFTYMIDCAP150,2026-02-03
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,NIFTYMIDCAP150,2026-02-03
