company_name,industry,symbol,Series,isin,index_code,scrape_date
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,NIFTYLARGEMIDCAP250,2026-02-03
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,NIFTYLARGEMIDCAP250,2026-02-03
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,NIFTYLARGEMIDCAP250,2026-02-03
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,NIFTYLARGEMIDCAP250,2026-02-03
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,NIFTYLARGEMIDCAP250,2026-02-03
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,NIFTYLARGEMIDCAP250,2026-02-03
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,NIFTYLARGEMIDCAP250,2026-02-03
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,NIFTYLARGEMIDCAP250,2026-02-03
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,NIFTYLARGEMIDCAP250,2026-02-03
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,NIFTYLARGEMIDCAP250,2026-02-03
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,NIFTYLARGEMIDCAP250,2026-02-03
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,NIFTYLARGEMIDCAP250,2026-02-03
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,NIFTYLARGEMIDCAP250,2026-02-03
DLF Ltd.,Realty,DLF,EQ,INE271C01023,NIFTYLARGEMIDCAP250,2026-02-03
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,NIFTYLARGEMIDCAP250,2026-02-03
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,NIFTYLARGEMIDCAP250,2026-02-03
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,NIFTYLARGEMIDCAP250,2026-02-03
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,NIFTYLARGEMIDCAP250,2026-02-03
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,NIFTYLARGEMIDCAP250,2026-02-03
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,NIFTYLARGEMIDCAP250,2026-02-03
Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,DUMMYHDLVR,EQ,DUM030A01027,NIFTYLARGEMIDCAP250,2026-02-03
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,NIFTYLARGEMIDCAP250,2026-02-03
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,NIFTYLARGEMIDCAP250,2026-02-03
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,NIFTYLARGEMIDCAP250,2026-02-03
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,NIFTYLARGEMIDCAP250,2026-02-03
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,NIFTYLARGEMIDCAP250,2026-02-03
