company_name,industry,symbol,Series,isin,index_code,scrape_date
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,NIFTYMIDCAP50,2026-02-03
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,NIFTYMIDCAP50,2026-02-03
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,NIFTYMIDCAP50,2026-02-03
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,NIFTYMIDCAP50,2026-02-03
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,NIFTYMIDCAP50,2026-02-03
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,NIFTYMIDCAP50,2026-02-03
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,NIFTYMIDCAP50,2026-02-03
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,NIFTYMIDCAP50,2026-02-03
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,NIFTYMIDCAP50,2026-02-03
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,NIFTYMIDCAP50,2026-02-03
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,NIFTYMIDCAP50,2026-02-03
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,NIFTYMIDCAP50,2026-02-03
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,NIFTYMIDCAP50,2026-02-03
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,NIFTYMIDCAP50,2026-02-03
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,NIFTYMIDCAP50,2026-02-03
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,NIFTYMIDCAP50,2026-02-03
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,NIFTYMIDCAP50,2026-02-03
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,NIFTYMIDCAP50,2026-02-03
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,NIFTYMIDCAP50,2026-02-03
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,NIFTYMIDCAP50,2026-02-03
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,NIFTYMIDCAP50,2026-02-03
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,NIFTYMIDCAP50,2026-02-03
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,NIFTYMIDCAP50,2026-02-03
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,NIFTYMIDCAP50,2026-02-03
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,NIFTYMIDCAP50,2026-02-03
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,NIFTYMIDCAP50,2026-02-03
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,NIFTYMIDCAP50,2026-02-03
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,NIFTYMIDCAP50,2026-02-03
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,NIFTYMIDCAP50,2026-02-03
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,NIFTYMIDCAP50,2026-02-03
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NIFTYMIDCAP50,2026-02-03
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,NIFTYMIDCAP50,2026-02-03
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,NIFTYMIDCAP50,2026-02-03
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,NIFTYMIDCAP50,2026-02-03
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,NIFTYMIDCAP50,2026-02-03
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,NIFTYMIDCAP50,2026-02-03
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,NIFTYMIDCAP50,2026-02-03
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,NIFTYMIDCAP50,2026-02-03
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,NIFTYMIDCAP50,2026-02-03
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,NIFTYMIDCAP50,2026-02-03
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,NIFTYMIDCAP50,2026-02-03
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,NIFTYMIDCAP50,2026-02-03
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,NIFTYMIDCAP50,2026-02-03
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,NIFTYMIDCAP50,2026-02-03
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,NIFTYMIDCAP50,2026-02-03
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,NIFTYMIDCAP50,2026-02-03
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,NIFTYMIDCAP50,2026-02-03
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,NIFTYMIDCAP50,2026-02-03
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,NIFTYMIDCAP50,2026-02-03
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,NIFTYMIDCAP50,2026-02-03
